classes,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,2,t,p,f,c,n,1,e,e,s,s,11,11,p,11,o,p,1,s,5
e,x,s,12,t,a,f,c,b,1,e,c,s,s,11,11,p,11,o,p,2,n,1
e,b,s,11,t,l,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,n,3
p,x,y,11,t,p,f,c,n,2,e,e,s,s,11,11,p,11,o,p,1,s,5
e,x,s,5,f,n,f,w,b,1,t,e,s,s,11,11,p,11,o,e,2,a,1
e,x,y,12,t,a,f,c,b,2,e,c,s,s,11,11,p,11,o,p,1,n,1
e,b,s,11,t,a,f,c,b,5,e,c,s,s,11,11,p,11,o,p,1,n,3
e,b,y,11,t,l,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,s,3
p,x,y,11,t,p,f,c,n,8,e,e,s,s,11,11,p,11,o,p,1,v,1
e,b,s,12,t,a,f,c,b,5,e,c,s,s,11,11,p,11,o,p,1,s,3
e,x,y,12,t,l,f,c,b,5,e,c,s,s,11,11,p,11,o,p,2,n,1
e,x,y,12,t,a,f,c,b,2,e,c,s,s,11,11,p,11,o,p,1,s,3
e,b,s,12,t,a,f,c,b,11,e,c,s,s,11,11,p,11,o,p,2,s,1
p,x,y,11,t,p,f,c,n,1,e,e,s,s,11,11,p,11,o,p,2,v,5
e,x,f,2,f,n,f,w,b,2,t,e,s,f,11,11,p,11,o,e,1,a,1
e,s,f,5,f,n,f,c,n,1,e,e,s,s,11,11,p,11,o,p,2,y,5
e,f,f,11,f,n,f,w,b,1,t,e,s,s,11,11,p,11,o,e,2,a,1
p,x,s,2,t,p,f,c,n,2,e,e,s,s,11,11,p,11,o,p,1,s,1
p,x,y,11,t,p,f,c,n,2,e,e,s,s,11,11,p,11,o,p,2,s,5
p,x,s,2,t,p,f,c,n,1,e,e,s,s,11,11,p,11,o,p,2,s,5
e,b,s,12,t,a,f,c,b,1,e,c,s,s,11,11,p,11,o,p,2,s,3
p,x,y,2,t,p,f,c,n,2,e,e,s,s,11,11,p,11,o,p,2,v,1
e,b,y,12,t,l,f,c,b,1,e,c,s,s,11,11,p,11,o,p,2,s,3
e,b,y,11,t,a,f,c,b,11,e,c,s,s,11,11,p,11,o,p,2,n,3
e,b,s,11,t,l,f,c,b,5,e,c,s,s,11,11,p,11,o,p,1,s,3
p,f,s,11,t,p,f,c,n,2,e,e,s,s,11,11,p,11,o,p,2,v,1
e,x,y,12,t,a,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,n,3
e,x,y,11,t,l,f,c,b,11,e,c,s,s,11,11,p,11,o,p,2,n,3
e,f,f,2,f,n,f,c,n,1,e,e,s,s,11,11,p,11,o,p,1,y,5
e,x,s,12,t,a,f,w,n,2,t,b,s,s,11,11,p,11,o,p,2,v,7
e,b,s,12,t,l,f,c,b,5,e,c,s,s,11,11,p,11,o,p,2,n,3
p,x,y,11,t,p,f,c,n,1,e,e,s,s,11,11,p,11,o,p,2,s,5
e,x,y,12,t,l,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,n,3
e,x,y,2,t,l,f,c,b,8,e,r,s,y,11,11,p,11,o,p,2,y,4
e,b,y,12,t,l,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,s,3
e,x,f,12,t,l,f,w,n,11,t,b,s,s,11,11,p,11,o,p,2,v,7
e,s,f,5,f,n,f,c,n,1,e,e,s,s,11,11,p,11,o,p,1,v,5
p,x,y,2,t,p,f,c,n,11,e,e,s,s,11,11,p,11,o,p,2,s,5
e,x,f,12,t,a,f,w,n,8,t,b,s,s,11,11,p,11,o,p,2,v,7
e,b,s,12,t,l,f,c,b,1,e,c,s,s,11,11,p,11,o,p,1,s,3
e,b,y,12,t,a,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,s,1
e,x,y,12,t,l,f,c,b,2,e,r,s,y,11,11,p,11,o,p,1,y,4
e,x,f,2,f,n,f,c,n,5,e,e,s,s,11,11,p,11,o,p,1,y,5
p,x,y,11,t,p,f,c,n,8,e,e,s,s,11,11,p,11,o,p,2,v,1
e,x,s,12,t,a,f,c,b,11,e,c,s,s,11,11,p,11,o,p,1,n,3
e,x,y,11,t,a,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,n,1
e,x,y,12,t,l,f,c,b,1,e,c,s,s,11,11,p,11,o,p,1,s,3
e,x,s,11,t,l,f,c,b,11,e,c,s,s,11,11,p,11,o,p,2,n,3
e,x,y,12,t,l,f,c,b,2,e,r,s,y,11,11,p,11,o,p,2,s,4
e,f,y,12,t,l,f,c,b,11,e,r,s,y,11,11,p,11,o,p,1,s,4
e,x,y,2,t,a,f,c,b,11,e,r,s,y,11,11,p,11,o,p,1,s,1
e,x,s,11,t,l,f,c,b,1,e,c,s,s,11,11,p,11,o,p,1,s,1
e,b,s,11,t,l,f,c,b,1,e,c,s,s,11,11,p,11,o,p,2,n,3
p,x,y,2,t,p,f,c,n,1,e,e,s,s,11,11,p,11,o,p,2,v,5
p,x,s,11,t,p,f,c,n,1,e,e,s,s,11,11,p,11,o,p,1,v,5
e,b,y,12,t,a,f,c,b,11,e,c,s,s,11,11,p,11,o,p,1,s,3
e,f,f,5,f,n,f,w,b,2,t,e,s,s,11,11,p,11,o,e,2,a,1
e,b,s,11,t,a,f,c,b,11,e,c,s,s,11,11,p,11,o,p,2,n,1
e,x,s,12,t,l,f,c,b,1,e,c,s,s,11,11,p,11,o,p,1,n,1
e,x,y,2,t,a,f,c,b,8,e,r,s,y,11,11,p,11,o,p,1,y,4
e,s,f,5,f,n,f,c,n,1,e,e,s,s,11,11,p,11,o,p,2,v,5
e,b,y,12,t,a,f,c,b,1,e,c,s,s,11,11,p,11,o,p,2,s,3
e,b,s,12,t,l,f,c,b,5,e,c,s,s,11,11,p,11,o,p,2,s,3
e,b,y,12,t,l,f,c,b,5,e,c,s,s,11,11,p,11,o,p,2,n,3
e,b,y,11,t,l,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,s,1
e,f,s,2,f,n,f,w,b,1,t,e,s,s,11,11,p,11,o,e,1,a,1
e,x,s,11,t,l,f,c,b,2,e,c,s,s,11,11,p,11,o,p,1,s,1
e,f,y,12,t,a,f,c,b,11,e,r,s,y,11,11,p,11,o,p,2,s,1
e,x,y,12,t,a,f,c,b,11,e,c,s,s,11,11,p,11,o,p,1,n,1
e,x,f,5,f,n,f,c,n,8,e,e,s,s,11,11,p,11,o,p,2,v,5
e,f,f,12,t,l,f,w,n,8,t,b,s,s,11,11,p,11,o,p,2,v,7
e,b,y,11,t,l,f,c,b,5,e,c,s,s,11,11,p,11,o,p,2,s,3
e,f,f,12,t,l,f,w,n,11,t,b,s,s,11,11,p,11,o,p,2,v,7
e,x,y,2,t,a,f,c,b,8,e,r,s,y,11,11,p,11,o,p,1,s,4
e,b,s,12,t,a,f,c,b,1,e,c,s,s,11,11,p,11,o,p,1,s,1
e,f,s,12,t,l,f,w,n,8,t,b,s,s,11,11,p,11,o,p,2,v,7
e,x,s,11,t,l,f,w,n,2,t,b,s,s,11,11,p,11,o,p,9,v,7
e,f,y,2,t,l,f,c,b,8,e,r,s,y,11,11,p,11,o,p,2,y,4
p,x,y,2,t,p,f,c,n,11,e,e,s,s,11,11,p,11,o,p,2,v,5
e,f,y,2,t,a,f,c,b,2,e,r,s,y,11,11,p,11,o,p,2,y,1
e,x,s,2,f,n,f,w,b,1,t,e,f,s,11,11,p,11,o,e,2,s,1
p,x,y,11,t,p,f,c,n,11,e,e,s,s,11,11,p,11,o,p,1,s,1
e,f,f,5,f,n,f,c,n,2,e,e,s,s,11,11,p,11,o,p,2,y,5
e,x,f,5,f,n,f,w,b,2,t,e,s,s,11,11,p,11,o,e,2,s,1
e,x,y,12,t,l,f,c,b,11,e,r,s,y,11,11,p,11,o,p,1,s,1
e,x,s,2,f,n,f,w,b,1,t,e,s,s,11,11,p,11,o,e,1,s,1
e,b,s,11,t,a,f,c,b,11,e,c,s,s,11,11,p,11,o,p,1,s,1
e,x,s,11,t,l,f,c,b,2,e,c,s,s,11,11,p,11,o,p,2,s,1
e,f,y,2,t,l,f,c,b,11,e,r,s,y,11,11,p,11,o,p,1,y,1
e,s,f,2,f,n,f,c,n,2,e,e,s,s,11,11,p,11,o,p,2,v,5
e,x,f,2,f,n,f,c,n,2,e,e,s,s,11,11,p,11,o,p,2,y,5
e,b,s,11,t,l,f,c,b,1,e,c,s,s,11,11,p,11,o,p,1,s,1
e,x,y,12,t,a,f,c,b,5,e,c,s,s,11,11,p,11,o,p,1,s,1
e,x,y,12,t,l,f,c,b,5,e,c,s,s,11,11,p,11,o,p,1,n,3
e,x,s,2,f,n,f,w,b,2,t,e,s,s,11,11,p,11,o,e,2,a,1
e,x,s,11,t,a,f,c,b,5,e,c,s,s,11,11,p,11,o,p,2,s,1
e,f,y,2,t,l,f,c,b,8,e,r,s,y,11,11,p,11,o,p,2,s,1
e,x,s,12,t,a,f,c,b,2,e,c,s,s,11,11,p,11,o,p,1,n,1
e,b,s,11,t,a,f,c,b,5,e,c,s,s,11,11,p,11,o,p,2,s,1
e,x,y,11,t,a,f,c,b,5,e,c,s,s,11,11,p,11,o,p,1,s,1
e,x,f,2,f,n,f,w,b,8,t,e,f,s,11,11,p,11,o,e,1,s,1
e,b,s,12,t,l,f,c,b,2,e,c,s,s,11,11,p,11,o,p,1,n,1
e,f,y,12,t,l,f,c,b,11,e,r,s,y,11,11,p,11,o,p,2,s,1
e,x,y,12,t,a,f,c,b,2,e,r,s,y,11,11,p,11,o,p,1,y,4
e,b,y,11,t,l,f,c,b,5,e,c,s,s,11,11,p,11,o,p,2,n,1
e,x,y,12,t,a,f,c,b,2,e,c,s,s,11,11,p,11,o,p,1,n,3
e,x,y,12,t,a,f,c,b,11,e,r,s,y,11,11,p,11,o,p,2,y,1
